5 5 5
0 0 0 185 
0 0 1 132 
0 0 2 197 
0 0 3 185 
0 0 4 160 
0 1 0 25 
0 1 1 251 
0 1 2 37 
0 1 3 97 
0 1 4 59 
0 2 0 137 
0 2 1 188 
0 2 2 14 
0 2 3 71 
0 2 4 74 
0 3 0 118 
0 3 1 105 
0 3 2 75 
0 3 3 162 
0 3 4 35 
0 4 0 153 
0 4 1 244 
0 4 2 193 
0 4 3 143 
0 4 4 71 
1 0 0 232 
1 0 1 133 
1 0 2 205 
1 0 3 246 
1 0 4 178 
1 1 0 116 
1 1 1 208 
1 1 2 27 
1 1 3 193 
1 1 4 44 
1 2 0 68 
1 2 1 101 
1 2 2 47 
1 2 3 23 
1 2 4 182 
1 3 0 202 
1 3 1 247 
1 3 2 90 
1 3 3 22 
1 3 4 52 
1 4 0 104 
1 4 1 170 
1 4 2 131 
1 4 3 244 
1 4 4 11 
2 0 0 156 
2 0 1 79 
2 0 2 53 
2 0 3 130 
2 0 4 74 
2 1 0 163 
2 1 1 205 
2 1 2 43 
2 1 3 65 
2 1 4 102 
2 2 0 141 
2 2 1 35 
2 2 2 170 
2 2 3 241 
2 2 4 1 
2 3 0 2 
2 3 1 229 
2 3 2 65 
2 3 3 159 
2 3 4 110 
2 4 0 114 
2 4 1 183 
2 4 2 27 
2 4 3 157 
2 4 4 151 
3 0 0 26 
3 0 1 175 
3 0 2 33 
3 0 3 90 
3 0 4 221 
3 1 0 213 
3 1 1 89 
3 1 2 216 
3 1 3 10 
3 1 4 100 
3 2 0 117 
3 2 1 129 
3 2 2 78 
3 2 3 80 
3 2 4 33 
3 3 0 137 
3 3 1 252 
3 3 2 151 
3 3 3 8 
3 3 4 9 
3 4 0 3 
3 4 1 111 
3 4 2 175 
3 4 3 184 
3 4 4 217 
4 0 0 219 
4 0 1 223 
4 0 2 129 
4 0 3 12 
4 0 4 113 
4 1 0 161 
4 1 1 226 
4 1 2 229 
4 1 3 150 
4 1 4 190 
4 2 0 7 
4 2 1 223 
4 2 2 85 
4 2 3 182 
4 2 4 36 
4 3 0 145 
4 3 1 53 
4 3 2 48 
4 3 3 220 
4 3 4 24 
4 4 0 219 
4 4 1 220 
4 4 2 97 
4 4 3 211 
4 4 4 27 
